producto;comentario;fecha
Espresso;El croissant muy hojaldrado.;14/01/2026 07:50
Americano;Me encantó el aroma.;10/01/2026 08:57
Latte;Sabor persistente.;8/01/2026 09:33
Americano;Perfecto para la mañana.;8/01/2026 14:07
Capuccino;Muy refrescante.;2/01/2026 10:28
Latte;Estaba un poco seco.;11/01/2026 20:37
Americano;Porción generosa.;14/01/2026 01:19
Americano;Espuma muy firme.;13/01/2026 12:57
Americano;Poco café, mucha leche.;12/01/2026 19:14
Latte;Ideal para despertar.;11/01/2026 20:43
Capuccino;La temperatura ideal.;1/01/2026 01:52
Americano;Ideal para despertar.;6/01/2026 13:46
Latte;Muy sabroso.;5/01/2026 01:15
Latte;Un clásico.;14/01/2026 04:16
Latte;Muy aromático.;13/01/2026 12:24
Capuccino;Perfecto para la mañana.;13/01/2026 22:38
Latte;Llegó un poco frío.;14/01/2026 05:07
Latte;Un clásico.;8/01/2026 23:33
Latte;Sabor muy balanceado.;14/01/2026 16:27
Americano;Mucha espuma, me encanta.;1/01/2026 16:10
Espresso;Equilibrado y suave.;8/01/2026 04:37
Espresso;El mejor espresso de la zona.;7/01/2026 06:56
Latte;Un clásico.;12/01/2026 04:58
Espresso;Un poco amargo para mi gusto.;14/01/2026 18:16
Capuccino;Ideal para la tarde.;11/01/2026 21:04
Latte;Equilibrado y suave.;7/01/2026 21:38
Capuccino;Sencillo pero rico.;8/01/2026 08:51
Capuccino;Equilibrado y suave.;10/01/2026 00:33
Espresso;El sandwich estaba muy fresco.;7/01/2026 19:08
Capuccino;Demasiada leche.;1/01/2026 13:21
Espresso;Un poco aguado.;6/01/2026 10:38
Americano;Demasiada leche.;12/01/2026 20:20
Espresso;Equilibrado y suave.;1/01/2026 13:02
Americano;Equilibrado y suave.;1/01/2026 21:13
Espresso;Snack saludable y rico.;12/01/2026 17:54
Latte;Mucha espuma, me encanta.;12/01/2026 19:16
Americano;Temperatura perfecta.;2/01/2026 12:54
Espresso;Sabor persistente.;6/01/2026 06:00
Capuccino;Sencillo pero rico.;6/01/2026 04:37
Latte;Sabor intenso y muy bueno.;2/01/2026 10:23
Americano;El croissant muy hojaldrado.;5/01/2026 04:57
Espresso;Estaba un poco seco.;2/01/2026 19:06
Latte;Muy reconfortante.;6/01/2026 12:36
Americano;Poco café, mucha leche.;9/01/2026 15:50
Espresso;Muy refrescante.;1/01/2026 07:35
Capuccino;Sabor intenso y muy bueno.;5/01/2026 06:55
Capuccino;La temperatura ideal.;8/01/2026 05:02
Capuccino;La galleta un poco dura.;2/01/2026 05:49
Espresso;Ideal para despertar.;8/01/2026 22:34
Americano;Buen sabor de grano.;11/01/2026 21:57
Capuccino;Sabor suave y dulce.;7/01/2026 16:32
Latte;Snack saludable y rico.;7/01/2026 08:55
Americano;Ideal para la tarde.;4/01/2026 23:15
Americano;Excelente crema.;2/01/2026 14:42
Americano;Muy rico.;8/01/2026 09:05
Latte;Un poco amargo para mi gusto.;7/01/2026 17:30
Capuccino;Ideal para despertar.;4/01/2026 19:10
Capuccino;Muy fuerte, como debe ser.;1/01/2026 13:20
Espresso;Demasiada leche.;9/01/2026 01:06
Americano;Muy fuerte, como debe ser.;6/01/2026 13:04
Espresso;Un poco aguado.;9/01/2026 19:25
Americano;Perfecto para la mañana.;11/01/2026 18:28
Capuccino;Muy aromático.;6/01/2026 00:22
Espresso;Sabor suave y dulce.;10/01/2026 22:27
Espresso;Me encantó el aroma.;4/01/2026 18:28
Latte;El croissant muy hojaldrado.;12/01/2026 11:05
Capuccino;Snack saludable y rico.;8/01/2026 23:38
Americano;Sabor intenso y muy bueno.;4/01/2026 20:51
Espresso;El sandwich estaba muy fresco.;14/01/2026 17:33
Americano;La temperatura ideal.;7/01/2026 01:35
Latte;Muy rico.;11/01/2026 18:45
Capuccino;Un poco aguado.;6/01/2026 08:38
Espresso;Excelente presentación.;6/01/2026 02:10
Espresso;Snack saludable y rico.;13/01/2026 14:15
Latte;Mucha espuma, me encanta.;3/01/2026 05:34
Americano;Mucha espuma, me encanta.;8/01/2026 16:12
Capuccino;Equilibrado y suave.;11/01/2026 06:48
Capuccino;Estaba un poco seco.;4/01/2026 10:43
Capuccino;Un poco aguado.;4/01/2026 04:14
Americano;Ideal para despertar.;13/01/2026 19:42
Capuccino;Sabor persistente.;14/01/2026 22:53
Americano;Poco café, mucha leche.;3/01/2026 04:23
Espresso;Muy refrescante.;3/01/2026 23:23
Espresso;Perfecto para la mañana.;12/01/2026 10:16
Latte;La temperatura ideal.;10/01/2026 05:17
Capuccino;Le faltó temperatura.;1/01/2026 06:15
Americano;La temperatura ideal.;6/01/2026 19:20
Latte;Buen sabor de grano.;13/01/2026 14:26
Americano;El mejor espresso de la zona.;14/01/2026 15:58
Americano;Temperatura perfecta.;7/01/2026 08:48
Capuccino;El mejor espresso de la zona.;8/01/2026 05:45
Americano;Un poco dulce.;3/01/2026 19:29
Americano;La temperatura ideal.;7/01/2026 17:39
Capuccino;Snack saludable y rico.;11/01/2026 13:58
Espresso;Delicioso.;6/01/2026 07:48
Americano;El croissant muy hojaldrado.;6/01/2026 15:07
Latte;Un clásico.;1/01/2026 23:10
Americano;Me encanta la textura.;5/01/2026 04:04
Latte;Muffin delicioso.;2/01/2026 07:20
Latte;La leche estaba muy cremosa.;6/01/2026 11:34
